顧問先コード,顧問先名称,年度,税目,申告種類,申告・申請名称,帳票数,署名数,税理士,代表者,経理責任者,提出先,サイズ,更新日
1205,ニュアンスヘア,"R 4",固定・償却,全資産（電）,令和4年　固定資産税（償却資産）全資産申告（電算処理分）,1,2,◎,,,広島市（償却資産・安佐南区）,13936,"2022/03/31 13:36:07"
1085,MASHU　井口台店,"R 4",固定・償却,全資産（電）,令和4年　固定資産税（償却資産）全資産申告（電算処理分）,1,3,◎,,,広島市（償却資産・西区）,16405,"2022/03/31 13:36:06"
1011,西村　英亨,"R 4",固定・償却,全資産（電）,令和4年　固定資産税（償却資産）全資産申告（電算処理分）,1,3,◎,,,広島市（償却資産・佐伯区）,16118,"2022/03/30 13:38:55"
968,橋本　有限会社,"R 3",法人税,確定,令和3年　法人税確定申告,1,34,◎,,,広島北,162593,"2022/03/31 13:24:06"
968,橋本　有限会社,"R 3",法人消費税,確定,令和3年　法人消費税確定申告,1,6,◎,,,広島北,21798,"2022/03/31 13:24:06"
968,橋本　有限会社,"R 3",法人二税・特別税,確定,令和3年　法人都道府県民税・事業税・特別法人事業税又は地方法人特別税確定申告,1,1,◎,,,広島県,11589,"2022/03/31 13:24:37"
968,橋本　有限会社,"R 3",法人市民税,確定,令和3年　法人市町村民税確定申告,1,1,◎,,,北広島町,11227,"2022/03/31 13:24:37"
934,株式会社　T-style,"R 3",法人税,確定,令和3年　法人税確定申告,2,30,◎,,,広島東,120885,"2022/03/31 13:24:06"
934,株式会社　T-style,"R 3",法人二税・特別税,確定,令和3年　法人都道府県民税・事業税・特別法人事業税又は地方法人特別税確定申告,1,5,◎,,,広島県,59694,"2022/03/31 13:24:36"
934,株式会社　T-style,"R 3",法人市民税,確定,令和3年　法人市町村民税確定申告,1,5,◎,,,広島市,59268,"2022/03/31 13:24:36"
485,ＨＭプラントサービス株式会社,"R 3",法人税,確定,令和3年　法人税確定申告,1,33,◎,,,広島東,140731,"2022/03/31 13:24:06"
485,ＨＭプラントサービス株式会社,"R 3",法人消費税,確定,令和3年　法人消費税確定申告,1,3,◎,,,広島東,12382,"2022/03/31 13:24:06"
485,ＨＭプラントサービス株式会社,"R 3",法人二税・特別税,確定,令和3年　法人都道府県民税・事業税・特別法人事業税又は地方法人特別税確定申告,1,2,◎,,,広島県,12868,"2022/03/31 13:24:36"
485,ＨＭプラントサービス株式会社,"R 3",法人市民税,確定,令和3年　法人市町村民税確定申告,1,1,◎,,,広島市,11039,"2022/03/31 13:24:36"
293,株式会社　エンピュア,"R 3",法人税,確定,令和3年　法人税確定申告,1,24,◎,,,豊島,75870,"2022/03/31 13:24:06"
293,株式会社　エンピュア,"R 3",法人二税・特別税,確定,令和3年　法人都道府県民税・事業税・特別法人事業税又は地方法人特別税確定申告,1,4,◎,,,東京都,22451,"2022/03/31 13:24:36"
293,株式会社　エンピュア,"R 3",法人二税・特別税,確定,令和3年　法人都道府県民税・事業税・特別法人事業税又は地方法人特別税確定申告,1,3,◎,,,広島県,20038,"2022/03/31 13:24:36"
293,株式会社　エンピュア,"R 3",法人二税・特別税,確定,令和3年　法人都道府県民税・事業税・特別法人事業税又は地方法人特別税確定申告,1,3,◎,,,兵庫県,20094,"2022/03/31 13:24:36"
293,株式会社　エンピュア,"R 3",法人二税・特別税,確定,令和3年　法人都道府県民税・事業税・特別法人事業税又は地方法人特別税確定申告,1,3,◎,,,埼玉県,20027,"2022/03/31 13:24:36"
293,株式会社　エンピュア,"R 3",法人市民税,確定,令和3年　法人市町村民税確定申告,1,3,◎,,,広島市,16861,"2022/03/31 13:24:36"
293,株式会社　エンピュア,"R 3",法人市民税,確定,令和3年　法人市町村民税確定申告,1,3,◎,,,加古川市,16824,"2022/03/31 13:24:36"
293,株式会社　エンピュア,"R 3",法人市民税,確定,令和3年　法人市町村民税確定申告,1,3,◎,,,三郷市,16783,"2022/03/31 13:24:36"
263,株式会社　綺萌,"R 3",法人税,確定,令和3年　法人税確定申告,1,32,◎,,,広島西,114936,"2022/03/31 13:24:06"
263,株式会社　綺萌,"R 3",法人二税・特別税,確定,令和3年　法人都道府県民税・事業税・特別法人事業税又は地方法人特別税確定申告,1,2,◎,,,広島県,12835,"2022/03/31 13:24:35"
263,株式会社　綺萌,"R 3",法人市民税,確定,令和3年　法人市町村民税確定申告,1,1,◎,,,広島市,10998,"2022/03/31 13:24:36"
237,株式会社　ファインレック,"R 4",固定・償却,全資産（電）,令和4年　固定資産税（償却資産）全資産申告（電算処理分）,1,2,◎,,,広島市（償却資産・西区）,14263,"2022/03/31 13:36:06"
237,株式会社　ファインレック,"R 4",固定・償却,全資産（電）,令和4年　固定資産税（償却資産）全資産申告（電算処理分）,1,2,◎,,,広島市（償却資産・東区）,13108,"2022/03/31 13:36:06"
237,株式会社　ファインレック,"R 4",固定・償却,全資産（電）,令和4年　固定資産税（償却資産）全資産申告（電算処理分）,1,2,◎,,,広島市（償却資産・安佐北区）,13894,"2022/03/31 13:36:06"
219,有限会社　アークス,"R 3",法人税,確定,令和3年　法人税確定申告,1,32,◎,,,広島東,120957,"2022/03/31 13:24:05"
219,有限会社　アークス,"R 3",法人二税・特別税,確定,令和3年　法人都道府県民税・事業税・特別法人事業税又は地方法人特別税確定申告,1,2,◎,,,広島県,12555,"2022/03/31 13:24:35"
219,有限会社　アークス,"R 3",法人市民税,確定,令和3年　法人市町村民税確定申告,1,1,◎,,,広島市,11010,"2022/03/31 13:24:35"
