"行","事務所コード","関与先コード","納税者(関与先)","決算月","税目","申告区分","電子申告データ作成","事業年度／課税期間","電子署名(添付書面)","電子署名(納税者)","電子署名(税理士)","送信","申告受付日時","即時通知","受信通知","送付書","申告期限","完了目標(3日前まで)","期限内","TISC","報告書","実践報告","監査担当者"
"1","5121","052","株式会社　ヨコロ",,"法定調書",," 4. 1. 8(15:48)",,,,"完了","済"," 4. 1.17(17:20)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"岡村　直幸"
"2","5121","052","株式会社　ヨコロ",,"給与支払報告書",," 4. 1. 8(15:51)",,"－",,"完了","済"," 4. 1.17(17:20)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"岡村　直幸"
"3","5121","282","株式会社　ＫＩｗｏｒｋｓ",,"法定調書",," 4. 1. 7(14:20)",,,,"完了","済"," 4. 1.17(17:36)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"安田　祥英"
"4","5121","282","株式会社　ＫＩｗｏｒｋｓ",,"給与支払報告書",," 4. 1. 7(14:21)",,"－",,"完了","済"," 4. 1.17(17:36)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"安田　祥英"
"5","5121","286","株式会社　環境開発公社",,"法定調書",," 4. 1. 4(18:42)",,,,"完了","済"," 4. 1.17(17:45)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"山田　健司"
"6","5121","286","株式会社　環境開発公社",,"給与支払報告書",," 4. 1. 4(18:42)",,"－",,"完了","済"," 4. 1.17(17:46)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"山田　健司"
"7","5121","463","株式会社　星光",,"法定調書",," 4. 1. 7(15:59)",,,,"完了","済"," 4. 1.17(17:50)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"塚澤　愛"
"8","5121","463","株式会社　星光",,"給与支払報告書",," 4. 1. 7(16:01)",,"－",,"完了","済"," 4. 1.17(17:51)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"塚澤　愛"
"9","5121","465","株式会社　スズキプラザ北",,"法定調書",," 4. 1.11(09:19)",,,,"完了","済"," 4. 1.17(18:00)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"山田　健司"
"10","5121","465","株式会社　スズキプラザ北",,"給与支払報告書",," 4. 1.11(09:19)",,"－",,"完了","済"," 4. 1.17(18:00)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"山田　健司"
"11","5121","524","株式会社　久本商店",,"法定調書",," 4. 1.11(10:00)",,,,"完了","済"," 4. 1.17(18:04)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"宮奥　千悠"
"12","5121","524","株式会社　久本商店",,"給与支払報告書",," 4. 1.11(10:00)",,"－",,"完了","済"," 4. 1.17(18:04)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"宮奥　千悠"
"13","5121","613","株式会社　フィット",,"法定調書",," 4. 1.11(08:35)",,,,"完了","済"," 4. 1.17(18:11)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"加藤　雄也"
"14","5121","613","株式会社　フィット",,"給与支払報告書",," 4. 1.11(08:35)",,"－",,"完了","済"," 4. 1.17(18:11)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"加藤　雄也"
"15","5121","632","未来夢　株式会社",,"法定調書",," 4. 1. 7(12:59)",,,,"完了","済"," 4. 1.17(18:22)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"加藤　雄也"
"16","5121","632","未来夢　株式会社",,"給与支払報告書",," 4. 1.12(17:30)",,"－",,"完了","済"," 4. 1.17(18:22)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"加藤　雄也"
"17","5121","723","株式会社　カラーベース",,"法定調書",," 4. 1. 8(15:30)",,,,"完了","済"," 4. 1.17(18:30)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"大神　浩央"
"18","5121","723","株式会社　カラーベース",,"給与支払報告書",," 4. 1. 6(14:37)",,"－",,"完了","済"," 4. 1.17(18:30)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"大神　浩央"
"19","5121","774","株式会社　いでしたケアサービス",,"法定調書",," 4. 1. 8(16:17)",,,,"完了","済"," 4. 1.17(19:24)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"安田　祥英"
"20","5121","775","株式会社　いでした",,"法定調書",," 4. 1. 6(14:56)",,,,"完了","済"," 4. 1.17(19:36)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"安田　祥英"
"21","5121","853","アイティープラス　株式会社",,"法定調書",," 4. 1. 6(14:16)",,,,"完了","済"," 4. 1.17(19:43)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"佐々木　博也"
"22","5121","853","アイティープラス　株式会社",,"給与支払報告書",," 4. 1. 6(14:23)",,"－",,"完了","済"," 4. 1.17(19:43)","正常","正常",," 4. 1.31"," 4. 1.28","○",,,,"佐々木　博也"
