"行","事務所コード","関与先コード","納税者(関与先)","決算月","税目","申告区分","電子申告データ作成","事業年度／課税期間","電子署名(添付書面)","電子署名(納税者)","電子署名(税理士)","送信","申告受付日時","即時通知","受信通知","送付書","申告期限","完了目標(3日前まで)","期限内","TISC","報告書","実践報告","監査担当者"
"1","5121","125","有限会社　上剃建設","12","固定資産税(償却資産)",," 4. 1.11(20:45)"," 4. 1. 1- 4.12.31","－",,,,,,,," 4. 1.31"," 4. 1.28",,,,,"加藤　雄也"
"2","5121","197","医療法人社団　益田歯科クリニック","8","固定資産税(償却資産)",," 4. 1.11(18:29)"," 4. 1. 1- 4.12.31","－",,,,,,,," 4. 1.31"," 4. 1.28",,,,,"山田　健司"
"3","5121","218","みつば産業　有限会社","9","固定資産税(償却資産)",," 4. 1. 6(10:45)"," 4. 1. 1- 4.12.31","－",,,,,,,," 4. 1.31"," 4. 1.28",,,,,"山﨑　智之"
"4","5121","223","有限会社　たけだ工業所","10","固定資産税(償却資産)",," 4. 1.14(19:02)"," 4. 1. 1- 4.12.31","－",,,,,,,," 4. 1.31"," 4. 1.28",,,,,"二間　晃治"
"5","5121","286","株式会社　環境開発公社","8","固定資産税(償却資産)",," 4. 1. 5(19:51)"," 4. 1. 1- 4.12.31","－",,,,,,,," 4. 1.31"," 4. 1.28",,,,,"山田　健司"
"6","5121","309","有限会社　エヌ・ケー・オー","10","固定資産税(償却資産)",," 4. 1. 6(13:15)"," 4. 1. 1- 4.12.31","－",,,,,,,," 4. 1.31"," 4. 1.28",,,,,"山﨑　智之"
"7","5121","584","株式会社　エデュコム","3","固定資産税(償却資産)",," 4. 1.11(18:41)"," 4. 1. 1- 4.12.31","－",,,,,,,," 4. 1.31"," 4. 1.28",,,,,"山田　健司"
"8","5121","612","株式会社　環境開発ホールディングス","9","固定資産税(償却資産)",," 4. 1. 5(19:29)"," 4. 1. 1- 4.12.31","－",,,,,,,," 4. 1.31"," 4. 1.28",,,,,"山田　健司"
"9","5121","613","株式会社　フィット","7","固定資産税(償却資産)",," 4. 1.11(10:54)"," 4. 1. 1- 4.12.31","－",,,,,,,," 4. 1.31"," 4. 1.28",,,,,"加藤　雄也"
"10","5121","632","未来夢　株式会社","3","固定資産税(償却資産)",," 4. 1.13(13:20)"," 4. 1. 1- 4.12.31","－",,,,,,,," 4. 1.31"," 4. 1.28",,,,,"加藤　雄也"
"11","5121","754","株式会社　タナカホームズ","3","固定資産税(償却資産)",," 4. 1.13(13:40)"," 4. 1. 1- 4.12.31","－",,,,,,,," 4. 1.31"," 4. 1.28",,,,,"加藤　雄也"
"12","5121","771","株式会社　Ｙ．Ｋ．Ｆ","10","固定資産税(償却資産)",," 4. 1.14(13:36)"," 4. 1. 1- 4.12.31","－",,,,,,,," 4. 1.31"," 4. 1.28",,,,,"二間　晃治"
"13","5121","927","有限会社　中村設計","3","固定資産税(償却資産)",," 4. 1.14(18:18)"," 4. 1. 1- 4.12.31","－",,,,,,,," 4. 1.31"," 4. 1.28",,,,,"二間　晃治"
